timestamp,currency,impact,event,actual,forecast,previous
2010-01-01 00:00:00,CHF,Non-Economic,Bank Holiday,,,
2010-01-01 00:00:00,EUR,Non-Economic,French Bank Holiday,,,
2010-01-01 00:00:00,EUR,Non-Economic,German Bank Holiday,,,
2010-01-01 00:00:00,EUR,Non-Economic,Italian Bank Holiday,,,
2010-01-01 00:00:00,GBP,Non-Economic,Bank Holiday,,,
2010-01-01 00:00:00,CAD,Non-Economic,Bank Holiday,,,
2010-01-01 00:00:00,USD,Non-Economic,Bank Holiday,,,
2010-01-02 20:00:00,CNY,Low Impact Expected,Non-Manufacturing PMI,57.5,,52.3
2010-01-03 10:15:00,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
2010-01-03 10:30:00,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
2010-01-03 00:00:00,NZD,Non-Economic,Bank Holiday,,,
2010-01-03 17:30:00,AUD,Low Impact Expected,AIG Manufacturing Index,48.5,,51.2
2010-01-03 21:30:00,CNY,Medium Impact Expected,Caixin Manufacturing PMI,56.1,,55.7
2010-01-04 00:30:00,AUD,Medium Impact Expected,Commodity Prices y/y,-16.6%,,-24.4%
2010-01-04 03:15:00,EUR,Medium Impact Expected,Spanish Manufacturing PMI,45.2,,45.3
2010-01-04 03:30:00,CHF,Medium Impact Expected,Manufacturing PMI,54.6,57.1,56.9
2010-01-04 03:45:00,EUR,Low Impact Expected,Italian Manufacturing PMI,50.8,50.5,50.1
2010-01-04 03:50:00,EUR,Low Impact Expected,French Final Manufacturing PMI,54.7,54.4,54.4
2010-01-04 03:55:00,EUR,Low Impact Expected,German Final Manufacturing PMI,52.7,53.1,53.1
2010-01-04 04:00:00,EUR,Low Impact Expected,Final Manufacturing PMI,51.6,51.6,51.6
2010-01-04 04:30:00,EUR,Low Impact Expected,Sentix Investor Confidence,-3.7,-3.4,-5.5
2010-01-04 04:30:00,GBP,High Impact Expected,Manufacturing PMI,54.1,52.1,51.8
2010-01-04 04:30:00,GBP,Medium Impact Expected,Net Lending to Individuals m/m,1.1B,0.6B,0.5B
2010-01-04 04:30:00,GBP,Low Impact Expected,Mortgage Approvals,61K,58K,58K
2010-01-04 05:00:00,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.2%,0.1%,0.1%
2010-01-04 10:00:00,USD,High Impact Expected,ISM Manufacturing PMI,55.9,54.1,53.6
2010-01-04 10:00:00,USD,Low Impact Expected,Construction Spending m/m,-0.6%,-0.4%,-0.5%
2010-01-04 10:00:00,USD,Low Impact Expected,ISM Manufacturing Prices,61.5,57.7,55.0
2010-01-04 13:00:00,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
2010-01-04 18:50:00,JPY,Low Impact Expected,Monetary Base y/y,5.2%,3.5%,3.8%
2010-01-04 19:01:00,AUD,Medium Impact Expected,HIA New Home Sales m/m,0.3%,,-6.0%
2010-01-05 03:00:00,EUR,Medium Impact Expected,Spanish Unemployment Change,54.7K,,60.6K
2010-01-05 03:55:00,EUR,Medium Impact Expected,German Unemployment Change,-3K,6K,-1K
2010-01-05 04:30:00,GBP,Medium Impact Expected,Construction PMI,47.1,47.6,47.0
2010-01-05 05:00:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,0.9%,0.9%,0.5%
2010-01-05 08:00:00,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
2010-01-05 08:30:00,CAD,Medium Impact Expected,RMPI m/m,2.2%,1.2%,2.5%
2010-01-05 08:30:00,CAD,Low Impact Expected,IPPI m/m,1.0%,0.5%,-0.3%
2010-01-05 08:30:00,NZD,Low Impact Expected,GDT Price Index,-5.4%,,1.7%
2010-01-05 10:00:00,USD,High Impact Expected,Pending Home Sales m/m,-16.0%,-2.3%,3.9%
2010-01-05 10:00:00,USD,Medium Impact Expected,Factory Orders m/m,1.1%,0.5%,0.8%
2010-01-05 00:00:00,USD,Low Impact Expected,Total Vehicle Sales,11.3M,11.0M,10.9M
2010-01-05 17:30:00,AUD,Medium Impact Expected,AIG Services Index,50.0,,52.5
2010-01-05 19:01:00,GBP,Medium Impact Expected,Nationwide Consumer Confidence,69,72,74
2010-01-05 19:01:00,GBP,Low Impact Expected,BRC Shop Price Index y/y,2.2%,,0.2%
2010-01-05 19:30:00,AUD,High Impact Expected,Building Approvals m/m,5.9%,3.1%,-1.8%
